State/UT,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
haryana,sirsa,245476.0,102363.492,14483.084,214791.5,93316.0,30794.28,3825.956,89490.04400000001
haryana,hisar,302013.0,140436.045,16610.715,188758.125,154113.0,49624.386000000006,5085.728999999999,137931.135
haryana,bhiwani,357047.0,163884.57299999995,18923.491,175667.124,99235.0,41281.76,4366.34,86135.98
haryana,rohtak,175203.0,86375.079,8234.541,102318.552,131739.0,43869.08699999999,3556.9530000000004,121331.619
haryana,jhajjar,211816.0,95529.016,10378.984,123912.36,78328.0,32036.152,3524.76,71826.77600000001
haryana,mahendragarh,223726.0,94188.646,6935.505999999999,87253.14,44216.0,16448.352000000003,1238.0479999999998,34134.752
haryana,rewari,199449.0,83170.23300000001,6581.816999999999,99325.602,69305.0,21484.55,1663.32,60849.79
haryana,gurgaon,141703.0,55689.279,4534.496,92957.168,381988.0,104664.712,14897.532,350282.99600000004
haryana,mewat,187398.0,109440.432,16865.82,33356.844,36237.0,14929.644000000002,1739.376,22648.125
haryana,faridabad,87700.0,37886.4,3771.1,51392.2,382981.0,149745.571,9191.544,341619.052
haryana,palwal,186069.0,95081.259,11722.347,59728.149000000005,63090.0,22838.58,2271.24,52238.52
nct of delhi,north west,67592.0,31497.872000000003,3041.64,43326.472,959275.0,329990.6,31656.075,824017.225
nct of delhi,north,4512.0,1141.536,40.608,4421.76,296559.0,110023.389,10379.565,266606.541
nct of delhi,north east,5326.0,1938.664,149.128,5059.7,482255.0,171682.78,9645.1,458624.505
nct of delhi,east,1086.0,72.762,13.032,1065.366,461132.0,111593.944,8761.508,430697.28800000006
nct of delhi,west,1809.0,873.747,32.562000000000005,1575.639,699703.0,201514.46400000004,19591.684,629032.997
nct of delhi,south west,41179.0,14618.545,1358.907,36113.983,606503.0,168001.33099999998,15769.078,553130.736
nct of delhi,south,2918.0,1205.134,134.22799999999998,2643.708,728145.0,220627.935,21116.205,640767.6
rajasthan,ganganagar,397697.0,167430.437,9942.425,323327.661,164897.0,53096.834,5441.601,154343.592
rajasthan,hanumangarh,389059.0,143173.712,9337.416,320195.557,108694.0,34999.468,3369.514,102063.666
rajasthan,bikaner,335754.0,169891.52400000003,16451.946,99047.43,196179.0,53556.867,3335.043,181661.754
rajasthan,churu,344897.0,135199.624,20004.026,162101.59,148996.0,45294.78399999999,3277.9120000000003,130371.5
rajasthan,jhunjhunun,500452.0,122110.288,12010.848,228706.564,150357.0,38190.678,2706.4260000000004,124044.525
rajasthan,alwar,782294.0,309006.13,28162.584,115779.51200000002,212967.0,61334.49600000001,3407.472,168882.83099999998
rajasthan,bharatpur,,,,,129697.0,54472.74,3112.728,90139.415
rajasthan,dhaulpur,214670.0,125367.28,14168.22,10304.16,58626.0,23333.148,2051.91,36817.128
rajasthan,karauli,305047.0,190349.328,17082.631999999998,25013.854,59308.0,24612.82,1838.548,37008.192
rajasthan,sawai madhopur,282057.0,155695.464,12410.508,24821.016,71264.0,24799.872,1852.864,51452.608
rajasthan,dausa,361084.0,170070.564,19137.452,33580.812000000005,59610.0,15975.48,834.54,45899.7
rajasthan,jaipur,754841.0,321562.266,31703.322,166065.02,977838.0,264994.098,11734.056,886899.0660000001
rajasthan,sikar,527560.0,165653.84,14771.68,212079.12,178274.0,47955.706,2852.384,150998.078
rajasthan,nagaur,675712.0,313530.368,42569.856,179063.68,166489.0,53276.48,3995.736,134190.134
rajasthan,jodhpur,584215.0,289186.425,30379.18,80037.455,307442.0,79320.03600000001,5226.513999999999,277005.242
rajasthan,jaisalmer,159117.0,89264.63700000002,5091.744000000001,26572.539,30830.0,12455.32,524.11,20501.95
rajasthan,barmer,542825.0,322438.05,28769.725,52654.025,55980.0,16234.2,1399.5,46351.44
rajasthan,jalor,419216.0,218411.536,35214.144,47371.40800000001,48202.0,17593.73,1928.08,29837.038
rajasthan,sirohi,238535.0,121175.78,16458.915,38642.67,69639.0,18663.252,1323.141,47493.798
rajasthan,pali,512909.0,256967.409,27697.086,95913.983,139808.0,46416.25600000001,3495.2,96607.328
rajasthan,ajmer,409335.0,204258.165,13917.39,57716.235,274919.0,76702.401,3024.1090000000004,236980.178
rajasthan,tonk,298911.0,161710.851,5679.309,20624.859,81755.0,29677.065,2043.875,53713.035
rajasthan,bundi,239836.0,135027.66799999998,8154.424,19906.388000000003,63452.0,21319.872000000003,1269.04,40736.184
rajasthan,bhilwara,530015.0,294158.325,19080.54,55651.575,145865.0,43905.365,1896.245,108961.155
rajasthan,rajsamand,304622.0,166323.61200000002,12794.124000000002,34422.286,61054.0,18865.686,610.54,43592.556
rajasthan,dungarpur,322816.0,200468.736,20014.592,29376.256,31547.0,8076.032000000001,662.487,23376.327
rajasthan,banswara,390437.0,267839.782,35529.767,26940.153,39407.0,9260.645,906.361,32510.775
rajasthan,chittaurgarh,366780.0,201362.22,13204.08,35210.88,88873.0,23817.964,1599.714,64432.925
rajasthan,kota,203454.0,94199.202,5696.712,25024.842,311735.0,91338.355,5922.965,239412.48
rajasthan,baran,249184.0,126336.288,7724.704000000001,18688.8,69804.0,24361.596,1396.08,39997.692
rajasthan,jhalawar,298624.0,178278.52800000002,12840.832,21500.928000000004,63763.0,19128.9,1339.023,42657.447
rajasthan,udaipur,665449.0,399934.849,25287.062,61886.757000000005,182769.0,40209.18,2193.228,157546.878
rajasthan,pratapgarh,209813.0,132601.81600000002,5245.325,13008.406,24269.0,5824.56,339.766,17012.569
uttar pradesh,saharanpur,605082.0,281363.13,34489.674,259580.178,284156.0,105990.188,8808.836,261423.52
uttar pradesh,muzaffarnagar,673746.0,338220.492,30992.315999999995,369886.554,296104.0,118441.6,9475.328,274192.304
uttar pradesh,bijnor,683875.0,359718.25,37613.125,344673.0,224648.0,95924.696,7188.736000000001,207574.75200000004
uttar pradesh,moradabad,692398.0,439672.73,41543.88,330966.244,355518.0,164249.31600000002,11376.576,332764.848
uttar pradesh,rampur,396775.0,257506.97500000003,24600.05,223781.1,143217.0,69460.245,5585.463,135053.631
uttar pradesh,jyotiba phule nagar,335888.0,203212.24,19817.392000000003,135362.86399999997,115486.0,58551.402,4619.44,106247.12
uttar pradesh,meerut,381520.0,190378.48,15642.319999999998,202587.12,422303.0,151606.777,8868.363000000001,392319.487
uttar pradesh,baghpat,246055.0,128686.765,7873.76,144680.34,69991.0,32545.815,2169.721,60542.215
uttar pradesh,ghaziabad,355407.0,180191.349,12794.652,212533.386,836316.0,285183.756,15053.688,792827.568
uttar pradesh,gautam buddha nagar,170835.0,72263.20499999999,4100.04,88321.695,338935.0,95240.735,4406.155,310125.525
uttar pradesh,bulandshahr,658449.0,370706.787,28313.307,203460.741,221628.0,95964.92399999998,6205.583999999999,188383.8
uttar pradesh,aligarh,582117.0,330060.33900000004,25031.031000000003,124573.038,275942.0,116999.408,7450.434,232895.048
uttar pradesh,mahamaya nagar,288150.0,158770.65,12102.3,47544.75,84883.0,39385.712,2716.2560000000003,61709.941000000006
uttar pradesh,mathura,407488.0,217191.104,16299.52,79867.648,177802.0,72009.81,4089.446,144375.22400000002
uttar pradesh,agra,496971.0,262897.659,21369.753,82497.186,406852.0,155417.464,7730.187999999999,333618.64
uttar pradesh,firozabad,349747.0,201454.272,23433.049,39871.158,185621.0,96708.541,7424.84,152394.841
uttar pradesh,mainpuri,338475.0,180745.65,25385.625,45694.125,72783.0,30277.728000000003,3202.452,54878.382000000005
uttar pradesh,budaun,710956.0,464965.2240000001,57587.436,149300.76,156668.0,81154.02399999999,9870.084,121417.7
uttar pradesh,bareilly,631613.0,397916.19,48634.20100000001,282962.624,362798.0,169063.86800000002,14511.92,334862.554
uttar pradesh,pilibhit,371752.0,233088.504,34201.184,131971.96,89638.0,40874.928,7529.592000000001,79598.544
uttar pradesh,shahjahanpur,520289.0,319977.735,62434.68,140478.03,134714.0,66952.85800000001,11046.548,115719.32600000002
uttar pradesh,kheri,754938.0,483160.32,83798.118,138153.654,107672.0,49313.776,9582.808,82046.064
uttar pradesh,sitapur,827583.0,512273.877,100137.543,98482.377,111319.0,47199.256,9462.115,80149.68
uttar pradesh,hardoi,786613.0,490059.899,65288.879,136870.66199999998,121064.0,56173.696,7990.223999999999,89587.36
uttar pradesh,unnao,596317.0,351827.03,43531.141,94218.086,121039.0,53499.238000000005,6172.988999999999,86784.963
uttar pradesh,lucknow,344155.0,196856.66,28564.865000000005,73993.325,717566.0,223163.026,29420.205999999995,629305.382
uttar pradesh,rae bareli,705025.0,390583.85,54991.95,94473.35,73393.0,25027.013000000003,3816.436,52182.423
uttar pradesh,farrukhabad,316647.0,188721.612,27231.642,75678.633,94843.0,43343.251,4457.621,77486.731
uttar pradesh,kannauj,299785.0,174774.655,26381.08,65053.345,65985.0,28571.505,3893.115,49884.66
uttar pradesh,etawah,265643.0,145306.72100000002,20720.154,52597.314000000006,85483.0,34620.615,3590.2860000000005,71292.822
uttar pradesh,auraiya,255836.0,141221.472,23025.24,52190.544,58438.0,22557.068000000003,2337.52,43945.376
uttar pradesh,kanpur dehat,363933.0,206713.944,30570.372000000003,83704.59,41323.0,16322.585,2438.057,27397.149
uttar pradesh,kanpur nagar,364869.0,214542.972,25175.961,86109.084,684906.0,265058.62200000003,32875.488,583539.912
uttar pradesh,jalaun,304856.0,174682.488,8840.824,86274.248,91565.0,37633.215,3204.775,69223.13999999998
uttar pradesh,jhansi,309592.0,146746.60799999998,6191.84,64085.544,195321.0,64260.609,3711.099,139849.836
uttar pradesh,lalitpur,258013.0,136230.86399999997,6966.351000000001,30961.56,43819.0,15862.478,1139.294,27562.151
uttar pradesh,hamirpur,256081.0,129320.905,3841.215,64020.25,55300.0,20516.3,884.8,37991.1
uttar pradesh,mahoba,198298.0,100537.086,3371.066,35297.044,48525.0,23631.675,776.4,26543.175
uttar pradesh,banda,378056.0,199991.624,4158.616,75611.2,67569.0,23784.288000000004,1148.673,49663.215
uttar pradesh,chitrakoot,207237.0,108799.425,3730.266000000001,24453.966,23558.0,11001.586,636.066,13828.546
uttar pradesh,fatehpur,558807.0,320755.218,31851.999,102261.681,77733.0,31792.797,3342.519,56045.493
uttar pradesh,pratapgarh,711085.0,317854.99500000005,44798.355,80352.60500000001,41701.0,13219.217,1251.03,26730.341
uttar pradesh,kaushambi,349856.0,193120.512,15393.664,48280.128,30764.0,13197.756,1353.616,15812.695999999998
uttar pradesh,allahabad,983266.0,479833.808,45230.236,153389.49599999998,265304.0,80917.72,7693.816,222855.36
uttar pradesh,bara banki,635840.0,323642.56,75664.96,83930.88,79068.0,31231.86,6957.984,53608.10399999999
uttar pradesh,faizabad,510378.0,262334.292,47465.154,74004.81,79288.0,28622.968000000004,3885.112,60417.456000000006
uttar pradesh,ambedkar nagar,501559.0,232723.376,49654.34100000001,69716.701,65031.0,27313.02,6373.0380000000005,35376.864
uttar pradesh,sultanpur,839737.0,418189.026,72217.382,110005.547,49891.0,14817.627,2195.204,36370.539
uttar pradesh,bahraich,698520.0,430986.84,60072.72,73344.6,61742.0,25931.64,3519.2940000000003,49084.89
uttar pradesh,shrawasti,248770.0,139808.74,16916.36,25872.08,8504.0,3189.0,850.4,5357.52
uttar pradesh,balrampur,410070.0,232509.69,27474.69,41827.13999999999,35768.0,14486.04,1466.4879999999998,25717.192000000003
uttar pradesh,gonda,673578.0,344198.35800000007,76114.314,53212.662,52794.0,17158.05,2322.936,40704.174
uttar pradesh,siddharthnagar,480165.0,215113.92,31690.89,49937.16,33348.0,11805.192,1734.096,15640.212
uttar pradesh,basti,513960.0,207125.88,51396.0,67328.76,31065.0,11090.205,2112.42,22397.865
uttar pradesh,sant kabir nagar,324972.0,141037.848,33147.144,39971.556,27179.0,10300.841,1739.456,13507.963
uttar pradesh,mahrajganj,573046.0,294545.644,50428.04800000001,95698.682,34033.0,13374.969,1973.914,19875.272
uttar pradesh,gorakhpur,761958.0,356596.344,67814.262,141724.188,189170.0,59777.72,6999.29,152092.68000000002
uttar pradesh,kushinagar,742324.0,414959.116,63097.54,109863.952,42775.0,16553.925000000003,4020.85,26648.825
uttar pradesh,deoria,597778.0,277966.77,50811.13,99828.926,67928.0,22823.808000000005,4483.248,42387.072
uttar pradesh,azamgarh,891024.0,430364.592,80192.16,149692.032,80434.0,30082.316000000003,3860.832,51960.364
uttar pradesh,mau,352207.0,166241.704,35572.907,61988.432,99321.0,43800.56100000001,6753.828,63068.835
uttar pradesh,ballia,564927.0,269470.179,72310.656,125413.794,64454.0,23267.894,5994.222000000001,39316.94
uttar pradesh,jaunpur,926088.0,426926.568,66678.33600000001,142617.55200000005,80582.0,35858.99,3545.6080000000006,57857.876
uttar pradesh,ghazipur,700173.0,358488.576,72817.992,130232.178,61467.0,23603.328,4487.090999999999,40260.885
uttar pradesh,chandauli,344937.0,169019.13,23455.716,64848.156,50822.0,18702.496,2337.812,35168.824
uttar pradesh,varanasi,438935.0,208933.06,29408.645,118951.385,316129.0,113174.182,11064.515,281354.81
uttar pradesh,sant ravidas nagar (bhadohi),293510.0,140004.27,18197.62,36982.26,45997.0,20238.68,2621.829,25574.332
uttar pradesh,mirzapur,465152.0,240018.432,22327.296,89309.18400000001,77963.0,31730.941000000003,2728.705,53404.655
uttar pradesh,sonbhadra,337048.0,188072.784,6066.8640000000005,46175.576,91040.0,31317.76,4278.88,64365.28
uttar pradesh,etah,334246.0,189183.236,23397.22,30750.632,67752.0,29404.368,2100.312,53049.816
uttar pradesh,kanshiram nagar,271234.0,166808.91,24139.826,30378.208,72490.0,36317.49,3189.56,55744.81
bihar,pashchim champaran,839514.0,531412.362,41136.186,96544.11,96620.0,50145.78,7149.88,52078.18
bihar,purba champaran,1142260.0,639665.6,63966.56,177050.3,101565.0,43571.385,5789.205,54845.1
bihar,sheohar,158484.0,94456.464,5388.456,31379.832,7516.0,3382.2,601.28,2773.4039999999995
bihar,sitamarhi,807294.0,473881.578,50052.228,150963.978,49670.0,20762.06,3228.55,30050.35
bihar,madhubani,1047552.0,532156.416,49234.944,181226.496,41234.0,17606.918,2927.614,22884.87
bihar,supaul,572287.0,355390.227,28042.063,52078.117,27815.0,14408.17,2169.57,13017.42
bihar,araria,659061.0,424435.284,24385.257,44157.087,44213.0,21443.305,2829.632,24007.659
bihar,kishanganj,401793.0,249915.246,14062.755,24911.166,43357.0,20117.648,3425.203,22502.283
bihar,purnia,712847.0,464063.397,36355.197,61304.842,85749.0,39530.289,8317.652999999998,50677.65900000001
bihar,katihar,668232.0,414303.84,33411.6,84865.464,69838.0,29541.474,4958.498,47839.03
bihar,madhepura,486278.0,311217.92,30149.236,54949.414,24000.0,11016.0,2087.9999999999995,12312.0
bihar,saharsa,432651.0,278194.593,28554.966,54081.375,38046.0,16397.826,2815.4040000000005,25719.096
bihar,darbhanga,907174.0,478987.872,73481.094,189599.366,95539.0,38215.6,8598.51,64011.13
bihar,muzaffarpur,998694.0,603211.176,83890.296,218713.986,120700.0,43693.4,8207.6,93059.7
bihar,gopalganj,515925.0,273956.175,41274.0,93382.425,38133.0,15100.668,2326.113,19371.564
bihar,siwan,632514.0,294751.52400000003,51866.148,127767.828,41858.0,14399.152,2553.338,29886.612
bihar,saran,701323.0,360480.022,61015.101,124835.494,76299.0,31664.085,6027.621,45016.41
bihar,vaishali,699317.0,397911.373,86015.991,174829.25,51494.0,22966.324,5458.3640000000005,31926.28
bihar,samastipur,1012979.0,599683.5680000001,98258.963,172206.43,43486.0,16785.596,2826.59,30527.172
bihar,begusarai,594377.0,339389.26700000005,68947.732,151566.135,139248.0,60572.88,13646.304000000002,80346.096
bihar,khagaria,373696.0,219733.248,33258.944,81092.032,21007.0,9936.311,1512.504,13927.640999999998
bihar,bhagalpur,522527.0,307245.876,45982.376,131154.277,130634.0,55911.35199999999,10058.818,93664.578
bihar,banka,425604.0,257490.42,28941.072,47242.044,18492.0,8672.748,943.092,8284.416
bihar,munger,222281.0,130256.666,17560.199,58015.34100000001,85782.0,33626.544,5747.394,63650.244000000006
bihar,lakhisarai,175882.0,103594.498,13542.914,47136.376,31763.0,16612.049,2668.092,19566.008
bihar,sheikhpura,108293.0,64975.8,10179.542,26315.199,24345.0,10882.215,1801.53,12708.09
bihar,nalanda,514141.0,306428.036,48843.395,117224.148,102522.0,42854.196,7279.062,75456.192
bihar,patna,657991.0,384266.744,59877.181,181605.516,552103.0,171151.93,28709.356,477569.095
bihar,bhojpur,434559.0,251175.102,37806.633,89084.595,77368.0,31798.248000000003,6344.176,53074.448
bihar,buxar,299252.0,169975.13599999997,31421.46,59850.4,35405.0,14020.38,3115.64,23792.16
bihar,kaimur (bhabua),325143.0,196061.229,21134.295,47145.735,15299.0,5125.165,703.7539999999999,10739.898
bihar,rohtas,512383.0,295644.99100000004,32792.512,108112.813,95678.0,39993.404,5645.002,65443.752
bihar,aurangabad,428291.0,247552.198,28267.205999999995,73666.052,49006.0,20141.466,2646.324,33324.08
bihar,gaya,696289.0,437269.492,55006.831000000006,114887.685,111282.0,40061.52,5230.254,86577.396
bihar,nawada,379551.0,236460.273,39093.753,65662.323,45323.0,17993.231,2900.672,31408.839
bihar,jamui,325909.0,209233.578,26072.72,38783.171,30851.0,15086.139,2622.335,15086.139
bihar,jehanabad,186660.0,114235.92,16986.06,41625.18,28132.0,11027.744,1941.108,19045.364
bihar,arwal,134334.0,83152.746,10478.052,30225.15,9960.0,5149.32,607.56,3884.4
sikkim,north  district,11543.0,5228.978999999999,427.091,8657.25,2066.0,419.398,37.188,2010.218
sikkim,west district,32091.0,16558.956000000002,2535.1890000000003,26988.530999999995,1886.0,290.444,124.47599999999998,1684.198
sikkim,south district,31135.0,14104.155,1836.965,26433.615,8163.0,1248.939,73.467,7991.577000000001
sikkim,east district,40626.0,16900.416,3046.95,34857.108,41512.0,7638.208,705.704,39394.888000000006
arunachal pradesh,tawang,10730.0,5032.37,439.93,7446.620000000001,2452.0,613.0,14.712,2390.7
arunachal pradesh,west kameng,17889.0,8640.386999999999,447.225,6958.821,,,,
arunachal pradesh,east kameng,14503.0,8440.746000000001,377.078,3190.66,5215.0,2466.695,130.375,3337.6
arunachal pradesh,papum pare,20308.0,8996.444,812.32,11128.784,30180.0,9476.52,1056.3,27675.06
arunachal pradesh,upper subansiri,14542.0,9146.918,363.55,5002.448,4672.0,1798.72,56.06399999999999,3975.872
arunachal pradesh,west siang,22272.0,9176.064,178.17600000000002,15835.392,8503.0,2550.9,178.563,8128.867999999999
arunachal pradesh,east siang,19497.0,5459.16,292.455,9241.578,9524.0,5371.536,409.532,8638.268
arunachal pradesh,upper siang,8569.0,2502.148,34.276,4824.347,2182.0,1036.45,24.002,1749.964
arunachal pradesh,changlang,33422.0,16644.156,568.174,21824.566000000003,6498.0,2488.734,51.98400000000001,5932.674
arunachal pradesh,tirap,18420.0,7975.86,184.2,15767.52,6500.0,3068.0,97.5,5973.5
arunachal pradesh,lower subansiri,18112.0,7281.024,271.68,12334.272,5365.0,1314.425,37.55499999999999,5284.525
arunachal pradesh,kurung kumey,18603.0,8315.541000000001,2325.375,4371.705,1092.0,542.724,55.692,880.1519999999999
arunachal pradesh,dibang valley,2055.0,1021.335,147.96,1329.585,1175.0,573.4,65.8,965.85
arunachal pradesh,lower dibang valley,12000.0,6324.0,384.0,5760.0,3950.0,1275.85,146.15,3499.7
arunachal pradesh,lohit,33599.0,18177.059,2015.94,16631.505,11372.0,5310.724,409.39200000000005,10143.824
arunachal pradesh,anjaw,6025.0,3181.2,361.5,1668.925,428.0,292.324,0.0,274.776
nagaland,mon,43607.0,27908.48,610.4979999999999,27341.589,7415.0,3611.105,415.24,6984.93
nagaland,mokokchung,37536.0,12799.776000000002,187.68,36147.168,17742.0,5854.86,124.194,17475.87
nagaland,zunheboto,31267.0,13820.014,531.539,22418.439,6044.0,2181.884,12.088,5705.536
nagaland,wokha,38499.0,19865.484,384.99,22906.905,8170.0,1772.89,16.34,7900.39
nagaland,dimapur,49116.0,21954.852000000003,1571.7120000000002,44990.256,62853.0,21747.138000000003,1319.9130000000002,60841.704
nagaland,phek,38903.0,21163.232,933.672,29332.862,7295.0,2837.755,29.18,6828.12
nagaland,tuensang,40690.0,22379.5,1383.46,20263.62,9451.0,5094.089,292.981,8392.488
nagaland,longleng,12686.0,8385.446,279.092,8753.34,2451.0,1561.287,137.25599999999997,1855.407
nagaland,kiphire,16032.0,9170.304,160.32,5867.712,4290.0,1192.62,17.16,4088.37
nagaland,kohima,31845.0,10699.92,191.07,16623.09,44255.0,14117.345,840.845,40714.6
nagaland,peren,20204.0,10708.12,181.836,15577.284,4073.0,2488.603,85.53300000000002,3783.817
manipur,senapati,38008.0,22690.776,836.176,27555.8,1826.0,1157.684,32.868,1782.1759999999997
